,date,price_change
149,2022-08-08,-0.0012375507238541195
150,2022-08-09,-0.004248692893594086
151,2022-08-10,0.021290637641290244
152,2022-08-11,-0.0007054739583503
153,2022-08-12,0.017322368774566943
154,2022-08-15,0.0039695418998517695
155,2022-08-16,0.0018756797165810912
156,2022-08-17,-0.007237794954094601
157,2022-08-18,0.002269561170191503
158,2022-08-19,-0.012900001139847905
159,2022-08-22,-0.0214000649197158
160,2022-08-23,-0.0022378626777133093
161,2022-08-24,0.0029161604463010526
162,2022-08-25,0.014091605518061545
163,2022-08-26,-0.03368805871951874
164,2022-08-29,-0.006666355799502699
165,2022-08-30,-0.011028155571448206
166,2022-08-31,-0.007817025105971265
167,2022-09-01,0.0029962320243361873
168,2022-09-02,-0.010736500458081055
169,2022-09-06,-0.004095056983834944
